"Name","ID","logFC","logCPM","PValue","FDR","Direction","t"
"ANKEF1","ENSG00000132623",0.0194295076992044,1.07452368713638,0.592290960529086,0.796362831153615,"NONE",0.535798413710487
"RPE","ENSG00000197713",-0.0272944003248203,3.43808795807477,0.268693626342107,0.542050492903392,"NONE",-1.10707334427499
"GLS2","ENSG00000135423",-0.0305435566104424,1.60340080970467,0.521192934451481,0.751551262721923,"NONE",-0.641874691048009
"VDAC1P8","ENSG00000229036",-0.0181503914578069,1.16752380667635,0.568640291543582,0.7817240160347,"NONE",-0.570361320382841
"LRP5L","ENSG00000100068",0.0263817952544505,1.51467246020539,0.509121768863652,0.742564235678681,"NONE",0.660590097251405
"","ENSG00000232611",0.0395417265602753,3.4946939877213,0.27736626724003,0.549751898468712,"NONE",1.08721513694367
"ERCC8","ENSG00000049167",0.0192036485903975,2.17604986268263,0.406554878520766,0.664855667956444,"NONE",0.830539843767426
"MCAT","ENSG00000100294",-0.0323132489982019,3.29112544910676,0.285006595330005,0.557010139641622,"NONE",-1.07006915896931
"SMAD1","ENSG00000170365",0.0331074020170017,2.56345557099288,0.362523035174432,0.62775438781286,"NONE",0.911243340320597
"NIFK-AS1","ENSG00000236859",0.0358617230628138,2.98912803211675,0.298947850938644,0.570588099646758,"NONE",1.03956797684974
"PHKA1","ENSG00000067177",0.0365633903805879,2.65404986499672,0.338466264773321,0.605998284840077,"NONE",0.957943860962348
"ERVH48-1","ENSG00000233056",0.0293127923164354,1.7525056333903,0.492193774101039,0.730051398102835,"NONE",0.687233573439182
"MMGT1","ENSG00000169446",-0.0298847660804684,3.42607378286296,0.271090456748736,0.544313743831672,"NONE",-1.10154174762086
"NIPA2","ENSG00000140157",-0.0368562428468575,2.98017451366284,0.314129807995194,0.58354402790973,"NONE",-1.00741599803056
"MYBPHL","ENSG00000221986",-0.0414014437365129,2.35176509797379,0.38861324546368,0.649254278865043,"NONE",-0.862744352616851
"SPAG5","ENSG00000076382",0.0346626018015703,2.85433044087274,0.319584393158857,0.588636694438686,"NONE",0.996115741277521
"C19orf57","ENSG00000132016",-0.0225490642965978,1.89125339693734,0.453914966122622,0.702185074178563,"NONE",-0.749378074533499
"SLC1A7","ENSG00000162383",0.0885700064912636,0.769038690488008,0.605117958419867,0.804129955633921,"NONE",0.517320339538136
