GeneID	RNAseq wt_1	RNAseq wt_2	RNAseq wt_3	RNAseq APP_1	RNAseq APP_2	RNAseq APP_3	RNAseq PSEN_1	RNAseq PSEN_2	RNAseq PSEN_3	RNAseq APP/PSEN1_1	RNAseq APP/PSEN1_2	RNAseq APP/PSEN1_3
ENSG00000264428	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198912	223	286	224	320	283	268	279	382	265	174	273	273
ENSG00000236423	2	0	3	1	3	0	0	3	1	0	2	4
ENSG00000233304	0	0	0	3	7	1	1	0	0	1	0	4
ENSG00000226374	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000229280	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000235054	0	0	2	1	0	0	0	0	0	0	1	1
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	1027	1207	1140	2859	2415	2545	1316	1945	1245	344	630	435
ENSG00000231510	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000260972	0	0	0	1	0	0	0	0	0	0	1	1
ENSG00000264341	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	2	0	0	1	0	0	1	0
ENSG00000216045	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	0	1	0	0	0	0	0	1	0	0	1	0
ENSG00000131697	262	290	312	358	303	340	314	477	272	195	376	325
ENSG00000266687	2	1	2	0	1	0	0	2	0	0	1	0
ENSG00000069424	324	386	387	402	294	378	365	537	354	139	281	207
ENSG00000268332	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116254	1733	1907	2049	2484	2132	2404	2458	3530	2301	1084	1989	1651
ENSG00000116251	2172	2325	2236	3975	2848	3741	2792	3661	2291	2503	4866	4271
ENSG00000226944	5	5	5	6	4	7	4	12	2	2	7	3
ENSG00000158286	35	43	43	78	52	53	55	62	47	22	32	39
ENSG00000116237	775	861	821	982	783	1050	756	962	581	376	685	674
ENSG00000225077	2	2	2	3	4	3	3	2	1	0	3	3
ENSG00000173673	2	2	2	9	5	14	3	1	1	1	1	2
