"Name","ID","logFC","logCPM","PValue","FDR","Direction"
"CCDC108","ENSG00000181378",1.840663799,2.207620864,2.19e-07,1.44e-06,"UP"
"ERLIN1","ENSG00000107566",-0.485795177,5.35286027,2.19e-07,1.44e-06,"NONE"
"NHSL2","ENSG00000204131",-0.987175833,2.140218771,2.19e-07,1.44e-06,"NONE"
"RP11-317P15.5","ENSG00000261185",-2.529801491,0.829305361,2.19e-07,1.44e-06,"DOWN"
"ZSCAN31","ENSG00000235109",0.69773716,4.130379734,2.2e-07,1.45e-06,"NONE"
"GAPDHP72","ENSG00000216624",-0.718770372,4.155615786,2.2e-07,1.45e-06,"NONE"
"RPL5P1","ENSG00000241061",-0.647649909,4.765629983,2.21e-07,1.45e-06,"NONE"
"RP5-1024G6.8","ENSG00000270172",-0.873034626,3.623967415,2.21e-07,1.45e-06,"NONE"
"GPRC5C","ENSG00000170412",1.341322631,3.037096234,2.22e-07,1.46e-06,"UP"
"TMOD2","ENSG00000128872",-0.56378292,7.054333624,2.23e-07,1.46e-06,"NONE"
"NME2P1","ENSG00000123009",-1.199450817,3.509439708,2.23e-07,1.47e-06,"DOWN"
"DYM","ENSG00000141627",-0.708556853,5.513671095,2.25e-07,1.47e-06,"NONE"
"CPSF4","ENSG00000160917",-0.607949512,5.809345733,2.28e-07,1.5e-06,"NONE"
"METAP1D","ENSG00000172878",-0.50104182,5.355072846,2.29e-07,1.5e-06,"NONE"
"VEGFB","ENSG00000173511",-0.617275026,6.585061421,2.29e-07,1.5e-06,"NONE"
"SLC36A4","ENSG00000180773",-0.529665153,5.679591183,2.3e-07,1.51e-06,"NONE"
"KIAA0513","ENSG00000135709",-0.687472358,5.400461807,2.3e-07,1.51e-06,"NONE"
"RP1-239B22.5","ENSG00000260196",-1.429304591,2.235454489,2.3e-07,1.51e-06,"DOWN"
"LHX9","ENSG00000143355",2.395842891,0.294148503,2.31e-07,1.51e-06,"UP"
